stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
2-8,recommended,100.0,135.4,101.8,90.0,0.0,138.4,6.00
2-8,balanced,100.0,136.2,110.0,93.3,70.0,140.0,6.00
2-8,physical_only,100.0,135.7,105.0,86.7,0.0,139.0,6.00
2-8,arcane_heavy,100.0,136.1,110.0,90.0,70.0,140.0,6.00
2-8,holy_heavy,100.0,147.4,48.3,20.0,0.0,127.7,6.00
2-8,no_blocker,100.0,135.8,110.0,93.3,73.3,140.0,6.00
2-8,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.2,3.00
2-8,all_expensive,0.0,0.0,0.0,0.0,0.0,15.6,3.00
2-8,turtle,0.0,0.0,0.0,0.0,0.0,12.0,3.00
2-8,siege_heavy,26.7,147.1,28.1,0.0,0.0,42.4,4.10
2-8,c_only,6.7,135.4,50.0,6.7,0.0,27.9,3.20
2-8,r_only,100.0,135.6,109.9,93.3,73.3,140.0,6.00
2-9,recommended,100.0,137.4,101.0,70.0,10.0,149.2,6.00
2-9,balanced,100.0,141.1,97.1,33.3,16.7,148.6,6.00
2-9,physical_only,100.0,143.2,88.7,30.0,3.3,146.9,6.00
2-9,arcane_heavy,96.7,146.0,69.9,20.0,6.7,142.7,5.97
2-9,holy_heavy,10.0,150.3,43.3,3.3,0.0,27.4,3.30
2-9,no_blocker,100.0,137.5,98.2,73.3,6.7,148.7,6.00
2-9,spam_cheapest,0.0,0.0,0.0,0.0,0.0,5.4,3.00
2-9,all_expensive,0.0,0.0,0.0,0.0,0.0,22.4,2.97
2-9,turtle,0.0,0.0,0.0,0.0,0.0,19.0,3.00
2-9,siege_heavy,3.3,149.8,24.0,0.0,0.0,21.6,3.10
2-9,c_only,6.7,142.5,60.0,3.3,0.0,45.0,3.20
2-9,r_only,100.0,140.0,102.6,50.0,10.0,149.5,6.00
2-10,recommended,100.0,214.1,110.0,80.0,0.0,122.0,5.00
2-10,balanced,100.0,252.9,110.0,80.0,0.0,122.0,5.00
2-10,physical_only,100.0,240.7,107.7,33.3,0.0,121.4,5.00
2-10,arcane_heavy,76.7,242.2,107.4,53.3,0.0,121.4,5.00
2-10,holy_heavy,36.7,260.2,62.4,0.0,0.0,62.9,4.43
2-10,no_blocker,6.7,183.0,99.5,0.0,0.0,118.0,5.00
2-10,spam_cheapest,0.0,0.0,0.0,0.0,0.0,27.3,4.00
2-10,all_expensive,90.0,184.9,42.3,0.0,0.0,100.6,4.90
2-10,turtle,60.0,315.1,91.4,23.3,0.0,117.6,5.00
2-10,siege_heavy,53.3,247.1,71.8,3.3,0.0,86.7,4.60
2-10,c_only,53.3,300.9,110.0,50.0,0.0,121.5,5.00
2-10,r_only,100.0,190.5,109.1,70.0,0.0,121.7,5.00
2-11,recommended,100.0,137.5,109.2,86.7,56.7,108.9,6.00
2-11,balanced,100.0,144.3,104.0,60.0,13.3,108.5,6.00
2-11,physical_only,100.0,147.0,109.9,76.7,3.3,109.0,6.00
2-11,arcane_heavy,100.0,150.6,109.6,73.3,6.7,108.9,6.00
2-11,holy_heavy,83.3,180.0,95.6,13.3,0.0,96.8,6.00
2-11,no_blocker,100.0,138.0,107.5,70.0,13.3,108.2,6.00
